г с {'rel_weight': 0.9976736891332899, 'rel_center': 0.9990557309484998, 'rel_inertia': 0.9999078513323034}
г т {'rel_weight': 0.9523821914244566, 'rel_center': 0.998808152090187, 'rel_inertia': 0.9961161151772012}
г у {'rel_weight': 0.9905203237039095, 'rel_center': 0.9941445056233021, 'rel_inertia': 0.9978527386077557}
г ф {'rel_weight': 0.9100216628863533, 'rel_center': 0.9916547160960282, 'rel_inertia': 0.994078416107452}
г х {'rel_weight': 0.9993598605765133, 'rel_center': 0.9998158291914828, 'rel_inertia': 0.9998375605957156}
г ц {'rel_weight': 0.9834216812809509, 'rel_center': 0.9937227053773889, 'rel_inertia': 0.9982103351203994}
г ч {'rel_weight': 0.9927823984178237, 'rel_center': 0.9973614509367964, 'rel_inertia': 0.9991940787938312}
г ш {'rel_weight': 0.9529368164115665, 'rel_center': 0.9920697275904685, 'rel_inertia': 0.9959342813264532}
г щ {'rel_weight': 0.9414987212000147, 'rel_center': 0.9872092567334543, 'rel_inertia': 0.9944307318393356}
г ъ {'rel_weight': 0.9895058337777388, 'rel_center': 0.9972437713026925, 'rel_inertia': 0.9994528301430514}
г ы {'rel_weight': 0.9659523877171091, 'rel_center': 0.9933422587118066, 'rel_inertia': 0.9971993761657375}
г ь {'rel_weight': 0.9978252085843865, 'rel_center': 0.9956795692619509, 'rel_inertia': 0.9996193118943412}
г э {'rel_weight': 0.9979589874757496, 'rel_center': 0.9983893504704504, 'rel_inertia': 0.9998559990364337}
г ю {'rel_weight': 0.9560220920936298, 'rel_center': 0.9963354936933662, 'rel_inertia': 0.9971701766253708}
г я {'rel_weight': 0.9831736329198817, 'rel_center': 0.9989656666811392, 'rel_inertia': 0.9994484042590693}
д а {'rel_weight': 0.9920266762447515, 'rel_center': 0.9920799210855833, 'rel_inertia': 0.9992381318273851}
д б {'rel_weight': 0.9868028141970254, 'rel_center': 0.9982423196325055, 'rel_inertia': 0.9992560138264618}
д в {'rel_weight': 0.9921799645577718, 'rel_center': 0.9926032637424441, 'rel_inertia': 0.998952403931163}
д г {'rel_weight': 0.9746939486325097, 'rel_center': 0.9934871317079841, 'rel_inertia': 0.9986632875366578}
д д {'rel_weight': 0.9960948730262928, 'rel_center': 0.9996050148272432, 'rel_inertia': 0.9997175854583531}
д е {'rel_weight': 0.9900088446333569, 'rel_center': 0.9924725305107344, 'rel_inertia': 0.9989068092201012}
д ё {'rel_weight': 0.9973100312895085, 'rel_center': 0.995748677858639, 'rel_inertia': 0.9995583729016004}
д ж {'rel_weight': 0.9947542970524244, 'rel_center': 0.9913446823920896, 'rel_inertia': 0.9991681404497373}
д з {'rel_weight': 0.9692006529059091, 'rel_center': 0.9945178587739529, 'rel_inertia': 0.9985315530029637}
д и {'rel_weight': 0.9778182431578872, 'rel_center': 0.9919913958091009, 'rel_inertia': 0.9990593853597934}
д й {'rel_weight': 0.990936935692189, 'rel_center': 0.9955751740768217, 'rel_inertia': 0.9997469972164187}
д к {'rel_weight': 0.9716727753358911, 'rel_center': 0.9939832932547698, 'rel_inertia': 0.9982812290478381}
д л {'rel_weight': 0.9821744183079008, 'rel_center': 0.994952049362721, 'rel_inertia': 0.9988832637006638}
д м {'rel_weight': 0.983268821816848, 'rel_center': 0.990677503987063, 'rel_inertia': 0.998651947155466}
д н {'rel_weight': 0.9785066470363603, 'rel_center': 0.9935854421449994, 'rel_inertia': 0.9985319269756897}
д о {'rel_weight': 0.9820016205732233, 'rel_center': 0.9932825175880546, 'rel_inertia': 0.9989843931684377}
д п {'rel_weight': 0.9792563662400414, 'rel_center': 0.9958773542697166, 'rel_inertia': 0.9986177849397135}
д р {'rel_weight': 0.9998629784663557, 'rel_center': 0.9867543383861381, 'rel_inertia': 0.9989318777381354}
д с {'rel_weight': 0.9693957471224804, 'rel_center': 0.9938961233893039, 'rel_inertia': 0.9985834316033938}
д т {'rel_weight': 0.980660133435266, 'rel_center': 0.993984820487598, 'rel_inertia': 0.997018773151509}
д у {'rel_weight': 0.981201734285281, 'rel_center': 0.9881329622035445, 'rel_inertia': 0.9987730037699721}
д ф {'rel_weight': 0.9382996048971628, 'rel_center': 0.9863663105127933, 'rel_inertia': 0.9955477044009781}
д х {'rel_weight': 0.9710819185657038, 'rel_center': 0.994073223314869, 'rel_inertia': 0.9983529441948227}
д ц {'rel_weight': 0.9883003767082397, 'rel_center': 0.9884773987599941, 'rel_inertia': 0.9996064900052495}
д ч {'rel_weight': 0.9645044564070142, 'rel_center': 0.9964935995966437, 'rel_inertia': 0.9979261072668628}
д ш {'rel_weight': 0.9812147584223759, 'rel_center': 0.9865403204462082, 'rel_inertia': 0.997172786743792}
д щ {'rel_weight': 0.9697766632108241, 'rel_center': 0.9822902826861347, 'rel_inertia': 0.9958117426931958}
д ъ {'rel_weight': 0.9822162242114517, 'rel_center': 0.9912042310003659, 'rel_inertia': 0.9990574005562362}
д ы {'rel_weight': 0.9942303297279186, 'rel_center': 0.9874060318449475, 'rel_inertia': 0.9983426051692508}
д ь {'rel_weight': 0.973896849404804, 'rel_center': 0.9895793535755751, 'rel_inertia': 0.9988636460218595}
д э {'rel_weight': 0.9737630705134409, 'rel_center': 0.9944281199579749, 'rel_inertia': 0.9986341330820829}
д ю {'rel_weight': 0.9843000341044392, 'rel_center': 0.9905178806502398, 'rel_inertia': 0.9981920254560357}
д я {'rel_weight': 0.9885484250693088, 'rel_center': 0.9946309629138967, 'rel_inertia': 0.9987311847627526}
е а {'rel_weight': 0.9952726359672186, 'rel_center': 0.9976143847073488, 'rel_inertia': 0.999493450536755}
е б {'rel_weight': 0.9741021264089955, 'rel_center': 0.9923727791202875, 'rel_inertia': 0.9980120634938205}
е в {'rel_weight': 0.9951193476541983, 'rel_center': 0.9986536670607491, 'rel_inertia': 0.9997639012045109}
е г {'rel_weight': 0.9873946364205396, 'rel_center': 0.999106023283702, 'rel_inertia': 0.9996648189474515}
е д {'rel_weight': 0.9833941852382629, 'rel_center': 0.9930368040010842, 'rel_inertia': 0.9984573637115851}
е е {'rel_weight': 0.9972904675786132, 'rel_center': 0.9995703783948449, 'rel_inertia': 0.9998327028699224}
е ё {'rel_weight': 0.9846093435014786, 'rel_center': 0.997020397041562, 'rel_inertia': 0.999137945029623}
е ж {'rel_weight': 0.9820536092643944, 'rel_center': 0.9974788817767423, 'rel_inertia': 0.9987829782825326}
е з {'rel_weight': 0.981901340693939, 'rel_center': 0.9975674430361361, 'rel_inertia': 0.9995870943612252}
е и {'rel_weight': 0.9905189309459171, 'rel_center': 0.9983898488477106, 'rel_inertia': 0.999675931863751}
е й {'rel_weight': 0.9963623765197811, 'rel_center': 0.9971660877807381, 'rel_inertia': 0.9989210457964399}
е к {'rel_weight': 0.984373463123921, 'rel_center': 0.9987559163446135, 'rel_inertia': 0.9995105079323422}
е л {'rel_weight': 0.9948751060959307, 'rel_center': 0.9977853752763828, 'rel_inertia': 0.9996302622605192}
е м {'rel_weight': 0.9705681340288181, 'rel_center': 0.9965108784128515, 'rel_inertia': 0.9980942746989966}
е н {'rel_weight': 0.9912073348243902, 'rel_center': 0.9991134883879095, 'rel_inertia': 0.9996218517438261}
е о {'rel_weight': 0.9947023083612532, 'rel_center': 0.9991630755903562, 'rel_inertia': 0.9997157800906648}
е п {'rel_weight': 0.9919570540280713, 'rel_center': 0.9969653903184661, 'rel_inertia': 0.9996513117282947}
е р {'rel_weight': 0.9871622906783258, 'rel_center': 0.9938512831354647, 'rel_inertia': 0.9977037829226503}
е с {'rel_weight': 0.9820964349105104, 'rel_center': 0.998730961261373, 'rel_inertia': 0.9997161645666088}
е т {'rel_weight': 0.9679594456472361, 'rel_center': 0.9980659539408329, 'rel_inertia': 0.9964902162913452}
е у {'rel_weight': 0.9939024220733109, 'rel_center': 0.9950233736099932, 'rel_inertia': 0.9978825646827528}
е ф {'rel_weight': 0.9255989171091329, 'rel_center': 0.9921966558478612, 'rel_inertia': 0.9943642362137222}
е х {'rel_weight': 0.9837826063537337, 'rel_center': 0.9987469805164394, 'rel_inertia': 0.9995170468057849}
е ц {'rel_weight': 0.9989989355037304, 'rel_center': 0.9941812468956669, 'rel_inertia': 0.9983919483411056}
